[0.07762849]
[0.00780686]
[0.05852729]
[0.04765815]
[0.02159839]
[0.06128348]
[0.09581361]
[0.00389513]
[0.00513016]
[0.19588007]
[0.09532765]
[0.03959317]
[0.02341092]
[0.05950725]
[0.04255465]
[0.04071733]
[0.00043651]
[0.05896078]
[0.0316603]
[0.01759741]
[0.04985616]
[0.01548318]
[0.03528495]
[0.00196331]
[0.10660445]
[0.02905259]
[0.02959359]
[0.04788462]
[0.02228761]
[0.02238457]
[0.02678666]
[0.04119422]
[0.00197353]
[0.1136623]
[0.02112396]
[0.08158663]
[0.11352763]
[0.01342261]
[0.09933384]
[0.05435955]
[0.10920237]
[0.0154955]
[0.10610026]
[0.06329998]
[0.06987131]
[0.02876029]
[0.02475958]
[0.0076964]
[0.02979671]
[0.14793563]
[0.19515659]
[0.06234215]
[0.04276974]
[0.08754816]
[0.06818887]
[0.02678364]
[0.04742777]
[0.01135756]
[0.16490621]
[0.02488407]
[0.00437777]
[0.10572237]
[0.07254658]
[0.09237441]
[0.03687234]
[0.05476601]
[0.04083419]
[0.08542781]
[0.07632722]
[0.0281793]
[0.00638491]
[0.03450766]
[0.04788771]
[0.05056871]
[0.13825469]
[0.02793179]
[0.04091263]
[0.09661582]
[0.1467806]
[0.07648772]
[0.1494627]
[0.07126908]
[0.15005731]
[0.0330685]
[0.0335462]
[0.05507617]
[0.03926219]
[0.01060434]
[0.03662826]
[0.07116269]
[0.152185]
[0.04249628]
[0.06754227]
[0.12817992]
[0.00920669]
[0.03486567]
[0.07251659]
[0.15066051]
[0.04930249]
[0.04692733]
[0.03088833]
[0.07301941]
[0.01867202]
[0.04716835]
[0.01996863]
[0.00454125]
[0.09622166]
[0.04012594]
[0.03243299]
[0.03921419]
[0.03799143]
[0.01840658]
[0.03932828]
[0.0117798]
[0.14193812]
[0.13775153]
[0.11395418]
[0.02347639]
[0.21223955]
[0.14478524]
[0.03861896]
[0.09029517]
[0.03036364]
[0.00216636]
[0.02843407]
[0.06584647]
[0.03844541]
[0.21898686]
[0.05326451]
[0.08078987]
[0.04867967]
[0.04958673]
[0.0549286]
[0.00835911]
[0.03428243]
[0.11883793]
[0.0192372]
[0.04110687]
[0.0366793]
[0.02016994]
[0.04987405]
[0.13057557]
[0.04758474]
[0.04296009]
[0.013476]
[0.04723012]
[0.03332927]
[0.05591614]
[0.00616637]
[0.0605942]
[0.05470194]
[0.01599098]
[0.11203939]
[0.0500511]
[0.10801797]
[0.01507172]
[0.04862099]
[0.03075909]
[0.06767601]
[0.00994565]
[0.05847028]
[0.1409708]
[0.05139072]
[0.06199382]
[0.04777864]
[0.01564455]
[0.12824176]
[0.04959988]
[0.01053709]
[0.04978124]
[0.01304174]
[0.03187119]
[0.04460448]
[0.00885083]
[0.03928534]
[0.04958836]
[0.07666667]
[0.13458404]
[0.00321984]
[0.04458908]
[0.00839502]
[0.02546869]
[0.03172322]
[0.01197442]
[0.04598697]
[0.09338342]
[0.00211949]
[0.0135822]
[0.16757044]
[0.06484606]
[0.04002127]
[0.08294686]
[0.04081708]
[0.02874075]
[0.07047899]
[0.0366806]
[0.05045993]
[0.08486119]
[0.06829769]
[0.01478886]
[0.01819428]
[0.15944034]
[0.04367979]
[0.11134124]
[0.06042421]
[0.02666667]
[0.02558466]
[0.03230264]
[0.03760547]
[0.00367129]
[0.02415614]
[0.11120737]
[0.03260036]
[0.02694984]
[0.06168628]
[0.01920023]
[0.11368173]
[0.04592512]
[0.05593861]
[0.0100241]
[0.07072475]
[0.0351974]
[0.10320883]
[0.0579796]
[0.04089097]
[0.06509856]
[0.0856537]
[0.00983232]
[0.15540466]
[0.08060681]
